nohup: ignoring input
127.0.0.1 - - [24/Dec/2025 16:26:01] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:01] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:01] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:02] "GET /api/quote?symbol=IZMO.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:02] "GET /api/quote?symbol=MEESHO.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:02] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:03] "GET /api/quote?symbol=LENSKART.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:03] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:03] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:03] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:11] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:11] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:11] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:11] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:12] "GET /api/quote?symbol=IZMO.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:12] "GET /api/quote?symbol=MEESHO.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:12] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:12] "GET /api/quote?symbol=LENSKART.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:12] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:12] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:13] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:20] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:21] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:21] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:21] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:22] "GET /api/quote?symbol=IZMO.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:22] "GET /api/quote?symbol=MEESHO.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:22] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:22] "GET /api/quote?symbol=LENSKART.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:22] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:22] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:23] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:31] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:31] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:26:31] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
